# 41556,-0.18319814,-0.27293178,0.5314146,0.6366172	
85221	-0.22347258	0.5679765	Bapchule	0.00	0
85222	-0.22842152	0.56283057	Casa Grande	0.00	0
85223	-0.22667389	0.5599518	Arizona City	0.00	0
85224	-0.22862008	0.5701295	Chandler	9.30	4726
85225	-0.22816476	0.5705433	Chandler	12.8	5396
85226	-0.22978011	0.57042015	Chandler	80.2	471
85227	-0.226519	0.56824076	Chandler Heights	0.00	0
85228	-0.22110869	0.5618752	Coolidge	0.00	0
85230	-0.22794187	0.5614077	Casa Grande	0.00	0
85231	-0.22126995	0.5620866	Eloy	0.00	0
85232	-0.2234324	0.56363916	Florence	0.00	0
85233	-0.2280077	0.5706847	Gilbert	9.70	3962
85234	-0.22746295	0.57090545	Gilbert	11.9	4195
85235	-0.21362956	0.5726354	Hayden	0.00	0
85236	-0.22640014	0.56977284	Higley	0.00	0
85237	-0.2177964	0.565639	Kearny	0.00	0
85239	-0.23252301	0.56471825	Maricopa	0.00	0
85241	-0.22579181	0.558817	Picacho	0.00	0
85242	-0.2258797	0.56942844	Queen Creek	0.00	0
85244	-0.22909923	0.57061744	Chandler	0.00	0
85245	-0.22336182	0.55646896	Red Rock	0.00	0
85246	-0.23349309	0.57056785	Chandler	0.00	0
85247	-0.22712462	0.5670843	Sacaton	0.00	0
85248	-0.22888292	0.569327	Chandler	30.2	964
85249	-0.22761725	0.5690595	Chandler	13.8	2629
85250	-0.22829837	0.57409704	Scottsdale	9.40	1758
85251	-0.22743843	0.5720974	Scottsdale	7.40	4560
85252	-0.22828746	0.57365656	Scottsdale	0.00	0
85253	-0.23004462	0.57148266	Paradise Valley	18.0	964
85254	-0.2277888	0.5732875	Scottsdale	13.6	3488
85255	-0.23349309	0.57056785	Scottsdale	87.6	420
85256	-0.22729285	0.5736357	Scottsdale	33.0	172
85257	-0.22875153	0.57313097	Scottsdale	6.60	4370
85258	-0.22829224	0.57461655	Scottsdale	8.60	2648
85259	-0.23349309	0.57056785	Scottsdale	20.5	1066
85260	-0.23349309	0.57056785	Scottsdale	14.5	2591
85261	-0.23349309	0.57056785	Scottsdale	0.00	0
85262	-0.22922513	0.5721736	Scottsdale	126.5	78
85263	-0.23349309	0.57056785	Rio Verde	337.8	7
85264	-0.22519794	0.57537806	Fort Mcdowell	213.3	6
85266	-0.23349309	0.57056785	Scottsdale	17.1	657
85267	-0.23349309	0.57056785	Scottsdale	0.00	0
85268	-0.23349309	0.57056785	Fountain Hills	20.6	1099
85269	-0.23349309	0.57056785	Fountain Hills	0.00	0
85271	-0.23349309	0.57056785	Scottsdale	0.00	0
85272	-0.23132569	0.5634124	Stanfield	0.00	0
85273	-0.21864495	0.5663904	Superior	0.00	0
85274	-0.23349309	0.57056785	Mesa	0.00	0
85275	-0.23349309	0.57056785	Mesa	0.00	0
85277	-0.23349309	0.57056785	Mesa	0.00	0
85278	-0.2220086	0.56342983	Apache Junction	0.00	0
85279	-0.2220086	0.56342983	Florence	0.00	0
85280	-0.22947112	0.57210743	Tempe	0.00	0
85281	-0.22932063	0.57264245	Tempe	13.4	4141
85282	-0.22945563	0.5720216	Tempe	11.2	4695
85283	-0.228776	0.5714967	Tempe	8.80	5064
85284	-0.22939551	0.57106376	Tempe	7.80	2231
85285	-0.23349309	0.57056785	Tempe	0.00	0
85287	-0.22944255	0.57258594	Tempe	0.00	0
85289	-0.23349309	0.57056785	Tempe	0.00	0
85290	-0.23349309	0.57056785	Tortilla Flat	0.00	0
85291	-0.22341351	0.5641904	Valley Farms	0.00	0
85292	-0.21405736	0.56370366	Winkelman	0.00	0
85296	-0.22711846	0.57016325	Gilbert	11.3	3400
85299	-0.23349309	0.57056785	Gilbert	0.00	0
85301	-0.23349309	0.57056785	Glendale	9.30	6598
85302	-0.23349309	0.57056785	Glendale	6.10	6071
85303	-0.23349309	0.57056785	Glendale	6.30	4930
85304	-0.23349309	0.57056785	Glendale	5.60	4893
85305	-0.23349309	0.57056785	Glendale	6.30	1880
85306	-0.23349309	0.57056785	Glendale	5.60	4387
85307	-0.23349309	0.57056785	Glendale	12.3	796
85308	-0.23349309	0.57056785	Glendale	17.4	3751
85309	-0.23349309	0.57056785	Luke Afb	3.40	197
85310	-0.23349309	0.57056785	Glendale	9.10	2243
85311	-0.23349309	0.57056785	Glendale	0.00	0
85312	-0.23349309	0.57056785	Glendale	0.00	0
85313	-0.23349309	0.57056785	Glendale	0.00	0
85318	-0.23349309	0.57056785	Glendale	0.00	0
85320	-0.23349309	0.57056785	Aguila	544.2	1
85321	-0.2330735	0.5472336	Ajo	0.00	0
85322	-0.23349309	0.57056785	Arlington	342.4	3
85323	-0.23349309	0.57056785	Avondale	18.6	2058
85324	-0.23036101	0.5842794	Black Canyon City	293.1	9
85325	-0.25714186	0.5870391	Bouse	0.00	0
85326	-0.23349309	0.57056785	Buckeye	368.7	134
85327	-0.23349309	0.57056785	Cave Creek	0.00	0
85328	-0.25849107	0.58218575	Cibola	173.1	2
85329	-0.23349309	0.57056785	Cashion	0.00	0
85331	-0.23349309	0.57056785	Cave Creek	112.4	229
85332	-0.2393058	0.5875379	Congress	415.1	4
85333	-0.2540347	0.5662049	Dateland	724.5	1
85334	-0.26540858	0.58255446	Ehrenberg	64.4	11
85335	-0.23349309	0.57056785	El Mirage	10.0	2962
85336	-0.27293178	0.56457365	Gadsden	3.80	131
85337	-0.23349309	0.57056785	Gila Bend	570.1	4
85338	-0.23349309	0.57056785	Goodyear	73.8	558
85339	-0.23324862	0.5715691	Laveen	212.5	157
85340	-0.23349309	0.57056785	Litchfield Park	30.2	931
85341	-0.2330735	0.5472336	Lukeville	0.00	0
